,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
237,Honda,Wr-V,399.63,77.19,832.66,1195.46,1257.2,25.58,152.42,141.71,15.26,177.83,95.03,214.64,796.89,1035000.0,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40.0,Diesel,1601.0,3999.0,1734.0,SUV,5,25.5,,25.5 km/litre,,1204 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,Yes,Smart Key,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,,,,98.63,200.0
246,Hyundai,Aura,525.96,537.08,973.01,1142.57,197.7,1010.75,226.22,205.3,136.54,210.19,226.03,27.06,1031.34,579900.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37.0,Petrol,1520.0,3995.0,1680.0,Sedan,5,,,20.5 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,,Digital,,Analog,Yes,5.0,Fabric,Manual,2450 mm,165/70 R14,,Yes,Not on offer,,,,,Manual,,,,Yes,,Front,Yes,,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2.0,,,,,Rear sensors,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,81.86,114.0
258,Hyundai,Creta,622.35,897.08,989.3,836.25,343.48,633.99,69.83,73.62,74.62,183.65,65.21,152.54,619.47,999990.0,1396.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1630.0,4270.0,1780.0,SUV,5,21.38,,21.38 km/litre,,,6,190 mm,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Coupled Torsion Beam Axle (CTBA) with coil spring,,,205/65R16,205/65R16,Electric Power,All Windows,,Yes,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2590 mm,205/65R16,,Yes,CD Player with USB & Aux-in,Yes,,3 years / Unlimited Kms,,"Internal, With Remote",475 litres,Yes,Yes,Yes,Digital,Centre,,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors,,Yes,,,,,,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,88.77,220.0
276,Hyundai,Elantra,771.27,441.49,404.61,819.39,497.93,446.13,24.24,189.89,212.7,108.87,145.3,235.86,916.86,1589000.0,1999.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50.0,Petrol,1465.0,4620.0,1800.0,Sedan,4,13.1,14.6,14.6 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Mcpherson strut Type with coil spring,Coupled Torsion Beam Axle,,,205/60R16,205/60R16,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2700 mm,205/60R16,,Yes,CD Player with USB & Aux-in,Yes,,,Yes,Internal,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3 Years/Unlimited km Warranty*,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,Yes,Normal,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,,6.0,,"Reach, Rake",,,Rear sensors,,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,,Yes,,Cup Holders,Yes,,Yes,,,Yes,Yes,,,Yes,,,Yes,,,,,,,149.92,196.0
280,Hyundai,Elite I20,636.17,655.73,481.21,1045.34,1032.34,1028.48,185.61,180.77,15.45,249.22,146.58,15.75,793.38,559693.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1505.0,3995.0,1710.0,Hatchback,5,13.3,18.6,18.6 km/litre,,1066 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,1505 mm,1503 mm,185/70R14,185/70R14,Electric Power,Only Front Windows,,,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2525 mm,185/70R14,,Yes,Not on offer,,,2 years / Unlimited Kms,,Internal,285 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",,Internal,Digital,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,,Front Row,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,10.5:1,,,Air Conditioner : Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.85,115.0
292,Hyundai,Grand I10,1124.91,122.91,465.09,167.38,1259.87,455.29,242.89,190.75,4.55,232.26,166.36,99.32,936.13,586428.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Petrol,1520.0,3765.0,1660.0,Hatchback,5,18.9,18.9,18.9 km/litre,,1003 kg,5,165 mm,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2425 mm,165/65R14,,2,CD/MP3 Player,,,"3 years / 100,000 Kms",Yes,Internal,256 litres,,Yes,Yes,,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,,1042 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,2.0,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,81.86,114.0
298,Hyundai,Grand I10 Nios,375.61,511.35,421.05,759.35,400.79,650.17,144.88,21.87,2.06,129.77,146.56,38.2,483.34,675090.0,1186.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37.0,Diesel,1520.0,3805.0,1680.0,Hatchback,5,20.7,,20.7 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,Digital,"Analog, Digital",Analog,2,5.0,Fabric,Manual,2450 mm,165/70R14,,1,USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256 litres,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors,,Yes,,,Yes,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,73.97,190.0
308,Hyundai,Grand I10 Prime,1011.23,972.8,302.69,276.06,705.91,148.73,143.9,15.78,84.69,156.21,130.59,96.27,627.44,551530.0,1120.0,3.0,4.0,FWD (Front Wheel Drive),,BS IV,"Front, Transverse",Injection,43.0,Diesel,1520.0,3765.0,1660.0,Hatchback,5,24.0,24.0,,,,5,,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,,,,Yes,Yes,Yes,,5.0,Fabric,Manual,2425 mm,14,,Yes,Not on offer,,Yes,,,Internal,256 litres,,,Yes,,Not on offer,,Front & Rear,,,,Internal,Yes,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,"Chrome Radiator Grille Wraparound Clear Lens Headlamps & Tail Lamps, Bumpers Tubeless Tyres",Rear sensors with camera,,,,,,,,Yes,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,,70.03,16.3
314,Hyundai,I20 Active,187.07,587.22,552.87,861.29,539.24,998.62,86.38,130.06,188.08,36.89,59.33,10.26,511.0,774035.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40.0,Petrol,1555.0,3995.0,1760.0,Hatchback,5,15.0,,17.19 km/litre,,,5,190 mm,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,1505 mm,1505 mm,195/55R16,195/55R16,Electric Power,All Windows,,Remote,Digital,"Analog, Digital",Analog,2,5.0,Fabric,Manual,2570 mm,195/55R16,,2,CD Player with USB & Aux-in,Yes,,"3 years / 100,000 Kms",Yes,Internal,285 litres,Yes,Yes,Yes,Digital,Front,,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,All Rows,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors with camera,,Yes,,,,,Multifunction Steering Wheel,,,Manual Adjustment,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,81.86,114.0
318,Hyundai,Kona Electric,1160.25,480.05,1178.45,792.93,263.38,768.84,33.16,196.82,137.58,122.94,136.08,177.56,804.14,2371858.0,,,,FWD (Front Wheel Drive),,,"Front, Longitudinal",,,Electric,1570.0,4180.0,1800.0,SUV,5,,,,,,Single Speed Reduction Gear,160 mm,Ventilated Disc,Ventilated Disc,Mcpherson strut Type,Multi - link,,,215/55 R17,215/55 R17,Electric Power,All Windows,Yes,Smart Key,Digital,Digital,Digital,2,4.0,Leather,Automatic,2600 mm,17,Yes,Yes,USB & Aux-in,Yes,,,Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,,Yes,,Yes,"Comfort, Eco, Sport",Yes,Yes,,,Yes,Yes,Yes,Yes,Automatic,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag",Yes,Yes,Yes,,6.0,,"Rake, Reach",,,"Rear sensors, Rear sensors with camera",Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,462.0,137.89,395.0
319,Hyundai,Santro,365.63,930.13,758.96,287.62,326.68,82.94,115.5,49.49,199.44,214.92,86.88,177.27,843.5,429990.0,1086.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,4,,,20.3 km/litre,,,5,,,,,,"1,476 (R13) mm","1,494 (R13) mm",,,Electric Power,Only Front Windows,,,Analog,Analog,Analog,Yes,5.0,Fabric,Manual,2400 mm,,,Yes,Not on offer,,Yes,,,"With Remote, Internal",,,,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,"With Remote, Internal",Digital,,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,Yes,,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,,,,,,,,,,,,,,,,,,,,68.06,99.04
327,Hyundai,Tucson,267.35,539.26,774.39,1054.87,851.79,1076.29,225.66,81.2,178.21,142.79,136.09,111.98,875.93,2079717.0,1995.0,4.0,4.0,4WD,In-line,BS IV,"Front, Longitudinal",Injection,62.0,Diesel,1660.0,4475.0,1850.0,SUV,5,16.38,18.42,18.42 km/litre,,,5,,Ventilated Disc,Solid Disc,McPherson strut with coil spring,Multilink Type with Coil Spring,1540 mm,1540 mm,225 / 60 R17,225 / 60 R17,Electric Power,All Windows,,,Yes,Analog,Analog,Yes,5.0,Fabric,Manual,2670 mm,225/55 R17,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,,Yes,Yes,Yes,Digital,Front & Rear,Yes,,Yes,,Yes,Internal,Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,Air Conditioner : Standard,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,Cup Holders,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,182.47,400.0
335,Hyundai,Venue,371.95,248.31,311.43,283.94,476.81,85.98,158.24,146.88,104.54,84.96,73.9,59.69,628.21,655000.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1590.0,3995.0,1770.0,SUV,5,,,17.52 km/litre,,,5,200 mm,Ventilated Disc,Drum,McPherson Strut with Coil Spring Rear,Coupled Torsion Beam Axle with coil spring,,,195 / 65 R15,195 / 65 R15,Electric Power,All Windows,,,Yes,Yes,Yes,Yes,5.0,Fabric,Manual,2500 mm,195 / 65 R15,,2,CD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, Internal",350 litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,"Internal, Manual",Yes,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,Rear sensors,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,82.0,112.7
347,Hyundai,Verna,249.45,202.2,424.78,1138.05,1.22,713.54,97.36,57.04,91.97,152.85,247.36,147.27,793.85,999900.0,1591.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1445.0,4440.0,1729.0,Sedan,4,,,17.7 km/litre,,,5,165 mm,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,,,195/55 R16,195/55 R16,Electric Power,All Windows,,Yes,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2600 mm,195 / 55 R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,465 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd /4th Years / up to80,000 Kms (Whichever comes earlier)",Yes,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,,,,,Yes,Yes,,,Yes,,,,,,121.32,151.0
360,Hyundai,Xcent,184.15,703.44,371.37,1074.2,702.64,833.64,248.51,113.44,172.55,212.86,203.54,98.77,1049.67,643769.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Petrol,1520.0,3995.0,1660.0,Sedan,4,15.7,,20.14 km/litre,,,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2425 mm,165/65R14,,Yes,USB & Aux-in,Yes,,2 years / Unlimited Kms,Yes,"Internal, With Remote",407 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to80,000 Kms (Whichever comes earlier)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors,Yes,Yes,,,,,,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,,,,,,,,,,,,,,,81.86,114.0
369,Hyundai,Xcent Prime,834.21,396.13,238.4,154.78,1118.83,720.66,190.19,248.61,133.96,186.84,170.79,61.69,992.08,556130.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43.0,CNG + Petrol,1520.0,3995.0,1660.0,Sedan,4,,,,25 km/kg,1100 kg,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,Only Front Windows,,,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425 mm,165/65R14,,Yes,Not on offer,,,,,Internal,407 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Second Row,1530 kg,,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,Yes,,,,Yes,,Cup Holders,,,Yes,,,,,,,,,,,,,,,,,81.86,114.0
375,Icml,Extreme,743.97,929.04,116.35,1108.04,795.0,220.32,70.61,50.48,37.34,5.49,138.5,115.84,418.26,642478.0,1994.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS III,"Front, Longitudinal",Injection,50.0,Diesel,1885.0,4440.0,1645.0,SUV,5,8.6,11.12,11.12 km/litre,,1710 kg,5,170 mm,Ventilated Disc,Drum,,Semi Elliptical Leaf spring,,,205/65 R15,205/65 R15,,,,,,,Yes,,9.0,Fabric,Manual,2541 mm,15,,,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,Manual,,,,Yes,,,,,,,,Internal,,Manual,Analog,Yes,5.6 meter,,,,,,,,,,,,Yes,,,,,,,,,,2460 kg,,,,,,,19.5:1,,,,Rear sensors with camera,,,,,,,,,,Manual Adjustment,,,,,,,,,,Yes,,,,,,,,,,,,,,100.01,240.0
386,Isuzu,Dmax V-Cross,568.64,984.01,729.77,220.99,1165.94,766.24,115.84,110.21,222.87,223.09,209.64,239.59,1121.24,1654783.0,2499.0,4.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Diesel,1840.0,5295.0,1860.0,Pick-up,4,7.3,10.3,10.3 km/litre,,1935 kg,5,,Ventilated Disc,Drum,Independent Double Wish Bone - Coil Spring Suspension,"Soft Ride, Leaf Spring",1570 mm,1570 mm,245/70 R16,245/70 R16,Hydraulic Power,All Windows,,Smart Key,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,3095 mm,245 / 70 R16,,Yes,CD Player with USB & Aux-in,Yes,,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,Front Row,2200 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,Rake,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,Yes,Electric Adjustment,,,,,,,,,,Yes,Yes,,,,,,Yes,,3.0,,,,,132.17,320.0
389,Isuzu,Mu-X,354.03,187.9,317.77,799.36,348.7,541.92,137.77,15.85,133.97,61.98,9.21,8.98,367.76,2734834.0,2999.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,76.0,Diesel,1840.0,4825.0,1860.0,SUV,5,13.8,13.8,13.8 km/litre,,,5,220 mm,Ventilated Disc,Drum,Independent Double Wish Bone - Coil Spring Suspension,"Rigid suspension with gas-sealed, twin-tube shock absorber",1570 mm,,245/70R17,245/70R17,Electric Power,All Windows,Yes,Remote,Analog,Analog,Analog,Yes,7.0,Leather,Automatic,2845 mm,245/70R17,Yes,2,DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,"With Remote, Manual",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,6.2 meter,Yes,Driver & Front Passenger,Yes,"Heater, Fully automatic climate control",,Yes,,,,,,Yes,,,,Yes,,,Yes,,All Rows,,"Driver curtain airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,,Yes,,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,,,,174.58,380.0
391,Jaguar,F-Pace,528.72,692.99,714.82,1186.61,484.42,818.95,153.39,152.41,178.8,15.89,64.01,216.27,780.77,6463780.0,1999.0,4.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60.0,Diesel,1651.0,4731.0,2175.0,SUV,5,21.27,,16.38 km/litre,,1830 kg,,213 mm,Ventilated Disc,Ventilated Disc,Aluminium Double Wishbone,Integral Link Suspension,1641 mm,1654 mm,255/60 R18,255/60 R18,Electric Power,All Windows,Yes,Smart Key,Analog,Digital,Analog,Yes,5.0,Leather,Automatic,2874 mm,255/60 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,650 litres,Yes,Yes,Yes,Digital,Yes,Yes,Front & Rear,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,11.87 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,,Yes,2460 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Rear passenger curtain airbags",Yes,Yes,Yes,Yes,6.0,15.5+/-0.5,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,177.54,430.0
